# attrNum	CP-ABE(KB)
1	0.255859
2	0.330078
3	0.404297
4	0.478516
5	0.552734
6	0.626953
7	0.701172
8	0.775391
9	0.849609
10	0.923828
11	0.998047
12	1.07227
13	1.14648
14	1.2207
15	1.2959
16	1.37012
17	1.44434
18	1.51855
19	1.59277
20	1.66699
21	1.74121
22	1.81543
23	1.88965
24	1.96387
25	2.03809
26	2.1123
27	2.18652
28	2.26074
29	2.33496
30	2.40918
31	2.4834
32	2.55762
33	2.63184
34	2.70605
35	2.78027
36	2.85449
37	2.92871
38	3.00293
39	3.07715
40	3.15137
41	3.22559
42	3.2998
43	3.37402
44	3.44824
45	3.52246
46	3.59668
47	3.6709
48	3.74512
49	3.81934
50	3.89355
51	3.96777
52	4.04199
53	4.11621
54	4.19043
55	4.26465
56	4.33887
57	4.41309
58	4.4873
59	4.56152
60	4.63574
61	4.70996
62	4.78418
63	4.8584
64	4.93262
65	5.00684
66	5.08105
67	5.15527
68	5.22949
69	5.30371
70	5.37793
71	5.45215
72	5.52637
73	5.60059
74	5.6748
75	5.74902
76	5.82324
77	5.89746
78	5.97168
79	6.0459
80	6.12012
81	6.19434
82	6.26855
83	6.34277
84	6.41699
85	6.49121
86	6.56543
87	6.63965
88	6.71387
89	6.78809
90	6.8623
91	6.93652
92	7.01074
93	7.08496
94	7.15918
95	7.2334
96	7.30762
97	7.38184
98	7.45605
99	7.53027
100	7.60449
