# attrNum	KP-ABE(KB)
1	0.203125
2	0.367188
3	0.53125
4	0.695312
5	0.859375
6	1.02344
7	1.1875
8	1.35156
9	1.51562
10	1.67969
11	1.84375
12	2.00781
13	2.17285
14	2.33691
15	2.50098
16	2.66504
17	2.8291
18	2.99316
19	3.15723
20	3.32129
21	3.48535
22	3.64941
23	3.81348
24	3.97754
25	4.1416
26	4.30566
27	4.46973
28	4.63379
29	4.79785
30	4.96191
31	5.12598
32	5.29004
33	5.4541
34	5.61816
35	5.78223
36	5.94629
37	6.11035
38	6.27441
39	6.43848
40	6.60254
41	6.7666
42	6.93066
43	7.09473
44	7.25879
45	7.42285
46	7.58691
47	7.75098
48	7.91504
49	8.0791
50	8.24316
51	8.40723
52	8.57129
53	8.73535
54	8.89941
55	9.06348
56	9.22754
57	9.3916
58	9.55566
59	9.71973
60	9.88379
61	10.0479
62	10.2119
63	10.376
64	10.54
65	10.7041
66	10.8682
67	11.0322
68	11.1963
69	11.3604
70	11.5244
71	11.6885
72	11.8525
73	12.0166
74	12.1807
75	12.3447
76	12.5088
77	12.6729
78	12.8369
79	13.001
80	13.165
81	13.3291
82	13.4932
83	13.6572
84	13.8213
85	13.9854
86	14.1494
87	14.3135
88	14.4775
89	14.6416
90	14.8057
91	14.9697
92	15.1338
93	15.2979
94	15.4619
95	15.626
96	15.79
97	15.9541
98	16.1182
99	16.2822
100	16.4463
