# attr_num	PKE(KB)
1	0.0810547
2	0.162109
3	0.243164
4	0.324219
5	0.405273
6	0.486328
7	0.566406
8	0.648438
9	0.729492
10	0.810547
11	0.891602
12	0.972656
13	1.05371
14	1.13477
15	1.21582
16	1.29492
17	1.37793
18	1.45898
19	1.54004
20	1.62109
21	1.70117
22	1.7832
23	1.86426
24	1.94531
25	2.02637
26	2.10742
27	2.18848
28	2.26953
29	2.35059
30	2.43164
31	2.5127
32	2.59375
33	2.6748
34	2.75586
35	2.83691
36	2.91797
37	2.99902
38	3.08008
39	3.16113
40	3.24219
41	3.32324
42	3.4043
43	3.48535
44	3.56641
45	3.64746
46	3.72852
47	3.80957
48	3.89062
49	3.97168
50	4.05273
51	4.13379
52	4.21484
53	4.2959
54	4.37695
55	4.45801
56	4.53906
57	4.62012
58	4.70117
59	4.78223
60	4.86328
61	4.94434
62	5.02539
63	5.10645
64	5.1875
65	5.26758
66	5.34961
67	5.43066
68	5.51074
69	5.5918
70	5.67285
71	5.75488
72	5.83594
73	5.91602
74	5.99805
75	6.07812
76	6.16016
77	6.24121
78	6.32227
79	6.40332
80	6.48438
81	6.56543
82	6.64551
83	6.72656
84	6.80859
85	6.88867
86	6.96875
87	7.05078
88	7.13281
89	7.21387
90	7.29492
91	7.37598
92	7.45703
93	7.53711
94	7.61914
95	7.69824
96	7.78125
97	7.8623
98	7.94336
99	8.02344
100	8.10449
